"Distance","#","","PID","Status","Address","Zip","County/City","Prop Type","Type","# Bedrooms","Fin SF","Total Baths","Year Built","List Price","Sales Price","Days On Market","Sales Date","New/Resale","Sold Terms","Owned By"
"3.1 mi","501","2111246","7778-74-2737","CLOSD","11344 Scots Hill TER","23059","Hanover","Residential","Single Family Residence","4","2,800","2.1","2007","$379,999","$375,000","18","06/09/2021","Resale (occupied at least once)","Conventional","Individuals"
"3.5 mi","501","2211874","7778-63-3184","CLOSD","11490 New Town CT","23059","Hanover","Residential","Single Family Residence","3","1,626","2.0","2002","$380,000","$420,000","6","06/10/2022","Resale (occupied at least once)","Conventional","Individuals"
"3.5 mi","501","2126335","7778-62-6642","CLOSD","11446 Caruthers WAY","23059","Hanover","Residential","Single Family Residence","4","2,468","2.1","2001","$380,000","$401,000","10","11/02/2021","Resale (occupied at least once)","Cash","Individuals"
"1.6 mi","501","2004533","TBD","CLOSD","Lot 98 Lauradell RD","23005","Hanover","Residential","Single Family Residence","3","2,177","2.1","2020","$384,400","$407,136","2","10/21/2020","New (never occupied)","Conventional","Corporate"
"1.4 mi","501","2026843","7880-74-8141","CLOSD","10620 Providence Green DR","23005","Hanover","Residential","Single Family Residence","4","3,265","3.1","2013","$385,000","$395,000","2","10/30/2020","Resale (occupied at least once)","FHA New","Individuals"
"3.4 mi","501","2018170","7778-73-7424","CLOSD","11296 Crutchfields CT","23059","Hanover","Residential","Single Family Residence","4","2,716","2.1","2004","$385,000","$395,000","5","08/07/2020","Resale (occupied at least once)","Conventional","Individuals"
"2.6 mi","501","2016041","7769-94-4066","CLOSD","12040 Fox Mill Run LN","23005","Hanover","Residential","Single Family Residence","4","2,490","3.1","1995","$385,000","$390,000","5","07/20/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.6 mi","501","2015222","7880-84-9014","CLOSD","10840 Mccann PL","23005","Hanover","Residential","Single Family Residence","3","2,376","3.1","2018","$385,000","$385,000","5","07/01/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.7 mi","501","2032461","7870450533","CLOSD","706 W Vaughan RD","23005","Hanover","Residential","Single Family Residence","2","1,499","2.0","2021","$386,910","$389,060","93","06/24/2021","New (never occupied)","Conventional","Corporate"
"1.1 mi","501","2016588","7779-76-5616","CLOSD","112 Giddy-Up LN","23005","Hanover","Residential","Single Family Residence","3","2,052","2.1","2014","$389,000","$380,000","51","08/28/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.8 mi","501","2006358","7870-89-0621","CLOSD","13984 Hungryjack CT","23005","Hanover","Residential","Single Family Residence","3","1,823","2.0","2016","$389,000","$386,000","23","04/29/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.4 mi","501","1821924","7880-83-0997","CLOSD","10605 Providence Green DR","23005","Hanover","Residential","Single Family Residence","4","3,229","2.1","2016","$389,000","$384,000","17","08/01/2018","Resale (occupied at least once)","Conventional","Individuals"
